time,lat,lon,alt,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,E-UTRA band 1: 2100,E-UTRA band 1: 900,,,,,,,,,
n/a,n/a,n/a,0,-57,-57,-2.5,-106,9,-7,17.8,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -6.8, -89.5, -64.8, '\tCell [1]:', 81.0, -9.6, -101.1, -83.3, '\tCell [2]:', 167.0, -20.0, -102.7, -73.3]","['\t\tCell [0]:', 163.0, -9.6, -87.8, -70.1, '\t\tCell [1]:', 188.0, -8.3, -88.9, -72.7, '\t\tCell [2]:', 249.0, -16.5, -97.0, -70.1]"
2021-11-10T07:39:18.000Z,35.38750136,139.429527,0,-57,-57,-2.5,-106,9,-7,17.8,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -7.2, -86.1, -60.0, '\tCell [1]:', 81.0, -10.3, -100.6, -82.6, '\tCell [2]:', 263.0, -20.0, -109.2, -77.2, '\tCell [3]:', 192.0, -20.0, -105.7, -70.1]","['\t\tCell [0]:', 163.0, -9.8, -88.0, -70.5, '\t\tCell [1]:', 188.0, -8.1, -87.6, -71.8, '\t\tCell [2]:', 249.0, -16.9, -96.9, -70.5]"
2021-11-10T07:39:19.000Z,35.38750136,139.429527,0,-57,-57,-2.5,-106,9,-7,17.8,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -6.9, -86.7, -61.1, '\tCell [1]:', 81.0, -11.6, -102.3, -84.1, '\tCell [2]:', 167.0, -20.0, -104.1, -73.2, '\tCell [3]:', 192.0, -20.0, -100.3, -69.8]","['\t\tCell [0]:', 163.0, -10.9, -88.5, -69.9, '\t\tCell [1]:', 188.0, -8.3, -87.5, -71.4, '\t\tCell [2]:', 249.0, -16.6, -96.4, -69.9]"
2021-11-10T07:39:20.000Z,35.38750136,139.429527,0,-57,-57,-2.5,-106,9,-7,17.8,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -6.6, -84.3, -59.5, '\tCell [1]:', 81.0, -11.3, -102.8, -83.1, '\tCell [2]:', 167.0, -20.0, -103.4, -74.2, '\tCell [3]:', 15.0, -20.0, -104.8, -74.2]","['\t\tCell [0]:', 163.0, -10.1, -87.7, -69.9, '\t\tCell [1]:', 188.0, -9.2, -91.2, -74.1, '\t\tCell [2]:', 249.0, -13.9, -95.4, -69.9, '\t\tCell [3]:', 106.0, -15.6, -97.0, -69.9]"
2021-11-10T07:39:21.000Z,35.38750136,139.429527,0,-57,-57,-2.5,-106,9,-7,15.8,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -7.8, -89.2, -60.6, '\tCell [1]:', 81.0, -13.6, -101.0, -75.5, '\tCell [2]:', 74.0, -20.0, -107.2, -75.8]","['\t\tCell [0]:', 163.0, -10.7, -88.3, -69.8, '\t\tCell [1]:', 188.0, -13.6, -93.0, -69.1, '\t\tCell [2]:', 249.0, -12.2, -93.8, -69.8, '\t\tCell [3]:', 106.0, -16.0, -94.0, -69.8]"
2021-11-10T07:39:22.000Z,35.38750136,139.429527,0,-64,-64,-2.5,-106,9,-7,13.4,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -6.8, -85.1, -58.4, '\tCell [1]:', 81.0, -10.8, -103.9, -84.5, '\tCell [2]:', 167.0, -20.0, -104.6, -72.7]","['\t\tCell [0]:', 163.0, -10.1, -88.3, -70.5, '\t\tCell [1]:', 188.0, -8.8, -89.4, -72.5, '\t\tCell [2]:', 249.0, -15.7, -97.0, -71.5, '\t\tCell [3]:', 106.0, -16.5, -96.5, -72.1, '\t\tCell [4]:', 270.0, -18.5, -99.9, -72.2]"
2021-11-10T07:39:29.000Z,35.38750532,139.4295198,0,-64,-64,-2.5,-106,9,-7,14.4,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -7.9, -90.2, -65.0, '\tCell [1]:', 81.0, -14.0, -103.1, -81.4, '\tCell [2]:', 15.0, -20.0, -103.0, -73.9, '\tCell [3]:', 167.0, -20.0, -102.4, -74.4]","['\t\tCell [0]:', 163.0, -9.0, -88.4, -71.6, '\t\tCell [1]:', 188.0, -8.4, -90.4, -74.0, '\t\tCell [2]:', 249.0, -15.1, -95.9, -71.6, '\t\tCell [3]:', 106.0, -20.0, -98.0, -69.9, '\t\tCell [4]:', 290.0, -20.0, -105.8, -76.4]"
2021-11-10T07:39:30.000Z,35.38750532,139.4295198,0,-64,-64,-2.5,-106,9,-7,13.6,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -7.9, -91.2, -64.9, '\tCell [1]:', 81.0, -10.4, -101.0, -82.1, '\tCell [2]:', 167.0, -17.9, -106.5, -78.5, '\tCell [3]:', 263.0, -20.0, -110.3, -81.2, '\tCell [4]:', 74.0, -18.8, -110.3, -80.3]","['\t\tCell [0]:', 163.0, -10.3, -88.0, -69.9, '\t\tCell [1]:', 188.0, -9.2, -92.1, -75.2, '\t\tCell [2]:', 249.0, -19.7, -98.2, -69.9, '\t\tCell [3]:', 56.0, -17.7, -98.7, -73.8]"
2021-11-10T07:39:41.000Z,35.38750532,139.4295198,0,-64,-64,-2.5,-106,9,-7,15.2,-87,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],"['\tCell [0]:', 163.0, -10.0, -88.1, -69.7, '\tCell [1]:', 188.0, -7.9, -85.4, -60.7, '\tCell [2]:', 249.0, -18.7, -96.3, -69.9]"
2021-11-10T07:39:42.000Z,35.38750532,139.4295198,0,-58,-58,-2.5,-106,9,-14,-1.8,-87,163,475,15,eutran-1,deactivated,163,3750,10,eutran-8,"['\t\tCell [0]:', 163.0, -9.2, -90.4, -73.6, '\t\tCell [1]:', 167.0, -20.0, -105.8, -78.2, '\t\tCell [2]:', 15.0, -18.4, -103.2, -77.1, '\t\tCell [3]:', 81.0, -12.3, -102.7, -82.7]","['\tCell [0]:', 163.0, -7.3, -86.0, -60.9, '\tCell [1]:', 188.0, -9.4, -93.4, -76.5, '\tCell [2]:', 106.0, -15.8, -97.6, -70.1, '\tCell [3]:', 249.0, -20.0, -100.8, -70.1]"
2021-11-10T07:39:52.000Z,35.38750532,139.4295198,0,-58,-58,-2.5,-106,9,-8,11.6,-87,163,3750,10,eutran-8,deactivated,163,475,15,eutran-1,"['\tCell [0]:', 163.0, -5.8, -91.2, -65.4, '\tCell [1]:', 81.0, -11.1, -104.2, -84.1, '\tCell [2]:', 15.0, -20.0, -110.7, -81.9, '\tCell [3]:', 167.0, -18.5, -109.2, -82.9, '\tCell [4]:', 74.0, -20.0, -113.8, -85.1, '\tCell [5]:', 287.0, -18.2, -106.5, -80.2]","['\t\tCell [0]:', 163.0, -10.2, -88.3, -70.3, '\t\tCell [1]:', 249.0, -17.3, -95.6, -70.3, '\t\tCell [2]:', 188.0, -11.9, -92.4, -72.8, '\t\tCell [3]:', 106.0, -16.7, -95.4, -70.3]"
