time,lat,lon,alt,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,s_pcid,s_rc,s_db,s_lband,s_State,p_pcid,p_rc,p_db,p_lband,E-UTRA band 1: 2100,E-UTRA band 1: 900
n/a,n/a,n/a,0,-50,-50,-2.5,-106,9,-11,28.8,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:25:58.000Z,35.38747927,139.4295222,0,-50,-50,-2.5,-106,9,-11,28.8,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:25:59.000Z,35.38747927,139.4295222,0,-50,-50,-2.5,-106,9,-11,30,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:00.000Z,35.38747927,139.4295222,0,-50,-50,-2.5,-106,9,-11,30,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:01.000Z,35.38747927,139.4295222,0,-50,-50,-2.5,-106,9,-11,28.2,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:09.000Z,35.38747927,139.4295222,0,-50,-50,-2.5,-106,9,-11,28.2,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:10.000Z,35.38747927,139.4295222,0,-50,-50,-2.5,-106,9,-11,26.6,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:18.000Z,35.38747927,139.4295222,0,-50,-50,-2.5,-106,9,-11,26.6,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:19.000Z,35.38747927,139.4295222,0,-50,-50,-2.5,-106,9,-11,27.8,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:26.000Z,35.38748266,139.4295306,0,-50,-50,-2.5,-106,9,-11,30,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:27.000Z,35.38748266,139.4295306,1,-50,-50,-2.5,-106,9,-11,30,-76,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:28.000Z,35.38748266,139.4295306,21,-59,-59,-2.5,-106,9,-11,4.2,-87,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:35.000Z,35.38753127,139.4295067,24,-59,-59,-2.5,-106,9,-11,4.2,-87,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:37.000Z,35.38753464,139.4295126,48,-53,-53,-2.5,-106,9,-11,1,-81,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,[],[]
2021-11-10T07:26:49.000Z,35.38753324,139.429516,62,-53,-53,-2.5,-106,9,-11,-1.6,-81,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,"['\t\tCell [0]:', 36.0, -20.0, -85.9, -54.3, '\t\tCell [1]:', 61.0, -16.6, -79.9, -55.8]","['\t\tCell [0]:', 188.0, -16.4, -79.3, -54.4, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']"
2021-11-10T07:26:50.000Z,35.38753322,139.4295136,66,-53,-53,-2.5,-106,9,-11,-1.6,-81,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,"['\t\tCell [0]:', 36.0, -19.2, -84.2, -56.1, '\t\tCell [1]:', 61.0, -15.9, -80.5, -56.3, '\t\tCell [2]:', 124.0, -20.0, -84.3, -56.1, '\t\tCell [3]:', 134.0, -20.0, -85.9, -55.9]","['\t\tCell [0]:', 188.0, -13.3, -76.8, -54.7, '\t\tCell [1]:', 106.0, -16.7, -78.6, -54.3, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']"
2021-11-10T07:26:51.000Z,35.38752924,139.4295196,70,-53,-53,-2.5,-106,9,-16,-3.4,-87,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,"['\tCell [0]:', 36.0, -17.2, -80.9, -44.6, '\tCell [1]:', 61.0, -19.7, -83.9, -56.2, '\t\tCell [0]:', 108.0, -17.7, -76.9, -51.5, '\t\tCell [1]:', 325.0, -13.1, -71.8, -51.5, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']",[]
2021-11-10T07:27:01.000Z,35.38720911,139.4295051,69,-44,-44,-2.5,-106,9,-16,-5.8,-78,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,"['\tCell [0]:', 36.0, -16.7, -79.6, -44.5, '\tCell [1]:', 51.0, -20.0, -85.0, -56.2, '\tCell [2]:', 61.0, -20.0, -85.4, -55.7, '\tCell [3]:', 172.0, -20.0, -85.8, -56.1, '\tCell [4]:', 137.0, -18.2, -83.4, -56.4]","['\t\tCell [0]:', 188.0, -12.5, -71.1, -50.8, '\t\tCell [0]:', 108.0, -16.1, -78.6, -55.2, '\t\tCell [1]:', 325.0, -14.8, -75.3, -53.3, '\t\tCell [2]:', 326.0, -13.7, -75.2, -53.3, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']"
2021-11-10T07:27:05.000Z,35.38687545,139.4294632,69,-44,-44,-2.5,-106,9,-16,-6.6,-78,163,3750,10,eutran-8,deconfigured,31,40340,20,eutran-41,"['\tCell [0]:', 36.0, -17.4, -80.6, -44.6, '\tCell [1]:', 61.0, -19.3, -83.6, -55.5, '\tCell [2]:', 137.0, -19.7, -83.3, -55.5]","['\t\tCell [0]:', 188.0, -13.7, -73.6, -52.0, '\t\tCell [0]:', 108.0, -13.2, -74.6, -53.5, '\t\tCell [1]:', 326.0, -14.5, -75.1, -53.2, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']"
