time,lat,lon,alt,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,s_pcid,s_rc,s_db,s_lband,s_State,p_pcid,p_rc,p_db,p_lband,E-UTRA band 1: 2100,E-UTRA band 1: 900
n/a,n/a,n/a,0,-52,-52,-2.5,-106,9,-9,29.6,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:40:59.000Z,35.39102314,139.42649,0,-52,-52,-2.5,-106,9,-9,30,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:00.000Z,35.39102314,139.42649,0,-52,-52,-2.5,-106,9,-9,30,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:01.000Z,35.39102314,139.42649,0,-52,-52,-2.5,-106,9,-9,28.2,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:02.000Z,35.39102314,139.42649,0,-52,-52,-2.5,-106,9,-9,30,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:09.000Z,35.39102314,139.42649,0,-52,-52,-2.5,-106,9,-9,27.8,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:10.000Z,35.39102314,139.42649,0,-52,-52,-2.5,-106,9,-9,27.6,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:14.000Z,35.39102314,139.42649,0,-52,-52,-2.5,-106,9,-9,30,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:20.000Z,35.39102653,139.4264984,0,-52,-52,-2.5,-106,9,-9,28,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:24.000Z,35.39102653,139.4264984,0,-52,-52,-2.5,-106,9,-9,29,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:25.000Z,35.39102653,139.4264984,0,-52,-52,-2.5,-106,9,-9,28.4,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:29.000Z,35.39102653,139.4264984,0,-52,-52,-2.5,-106,9,-9,28.2,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:36.000Z,35.39103388,139.4264984,0,-52,-52,-2.5,-106,9,-9,29.4,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:37.000Z,35.39103388,139.4264984,0,-52,-52,-2.5,-106,9,-9,28.6,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:41.000Z,35.39103388,139.4264984,0,-52,-52,-2.5,-106,9,-9,28.6,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:43.000Z,35.39103388,139.4264984,0,-52,-52,-2.5,-106,9,-9,27.8,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:49.000Z,35.39103784,139.4264912,0,-52,-52,-2.5,-106,9,-9,29,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:50.000Z,35.39103784,139.4264912,0,-52,-52,-2.5,-106,9,-9,29,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:54.000Z,35.39103784,139.4264912,0,-52,-52,-2.5,-106,9,-9,29,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:55.000Z,35.39103784,139.4264912,0,-52,-52,-2.5,-106,9,-9,30,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:41:59.000Z,35.39103784,139.4264912,0,-52,-52,-2.5,-106,9,-9,29,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:07.000Z,35.39103784,139.4264912,0,-52,-52,-2.5,-106,9,-9,29.6,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:08.000Z,35.39103784,139.4264912,0,-52,-52,-2.5,-106,9,-9,29.6,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:12.000Z,35.3910305,139.4264912,0,-52,-52,-2.5,-106,9,-9,28.2,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:13.000Z,35.3910305,139.4264912,0,-52,-52,-2.5,-106,9,-9,30,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:17.000Z,35.3910305,139.4264912,1,-52,-52,-2.5,-106,9,-9,29,-81,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:24.000Z,35.39102314,139.42649,7,-65,-65,-2.5,-106,9,-9,21.4,-92,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:25.000Z,35.39101182,139.4264972,19,-65,-65,-2.5,-106,9,-9,21.4,-92,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:29.000Z,35.39099315,139.4265031,31,-54,-54,-2.5,-106,9,-9,10.8,-83,81,475,15,eutran-1,deconfigured,188,3750,10,eutran-8,[],[]
2021-12-05T03:42:50.000Z,35.39103513,139.4265112,81,-41,-41,-2.5,-106,9,-14,-0.8,-73,205,475,15,eutran-1,deactivated,188,3750,10,eutran-8,"['\t\tCell [0]:', 36.0, -20.0, -85.1, -56.6, '\t\tCell [1]:', 74.0, -20.0, -85.4, -56.9, '\t\tCell [2]:', 185.0, -18.8, -83.0, -56.4, '\t\tCell [3]:', 205.0, -20.0, -94.3, -56.5, '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:', '\t\tCell [0]:', '\t\tCell [1]:', '\t\tCell [2]:', '\t\tCell [3]:', '\t\tCell [4]:', '\t\tCell [5]:', '\t\tCell [6]:', '\t\tCell [7]:']","['\tCell [0]:', 188.0, -16.5, -75.4, -41.5, '\tCell [1]:', 109.0, -14.0, -77.2, -52.1]"
