time,lat,lon,alt,speed,Current,RSSI,ECIO,IO,SINR,RSRQ,SNR,RSRP,PCID
n/a,n/a,n/a,n/a,n/a,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,25.0,-85.0,163.0
2021-06-17T08:24:23.000Z,35.387743764,139.429727547,57.133,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,24.8,-85.0,163.0
2021-06-17T08:24:24.000Z,35.387743764,139.429727547,57.133,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,25.6,-85.0,163.0
2021-06-17T08:24:28.000Z,35.387732452,139.429734705,57.173,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,24.8,-85.0,163.0
2021-06-17T08:24:35.000Z,35.387721709,139.429726345,57.124,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,27.4,-85.0,163.0
2021-06-17T08:24:36.000Z,35.387721709,139.429726345,57.124,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,25.8,-85.0,163.0
2021-06-17T08:24:40.000Z,35.387721709,139.429726345,57.124,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,28.2,-85.0,163.0
2021-06-17T08:24:47.000Z,35.387717744,139.429733503,57.744,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,25.4,-85.0,163.0
2021-06-17T08:24:48.000Z,35.387717744,139.429733503,57.744,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,24.4,-85.0,163.0
2021-06-17T08:24:52.000Z,35.387710396,139.429733503,57.165,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,23.4,-85.0,163.0
2021-06-17T08:24:59.000Z,35.387710396,139.429733503,57.165,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,24.6,-85.0,163.0
2021-06-17T08:25:00.000Z,35.387710396,139.429733503,57.165,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,25.8,-85.0,163.0
2021-06-17T08:25:04.000Z,35.387710396,139.429733503,57.165,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,26.6,-85.0,163.0
2021-06-17T08:25:11.000Z,35.387699083,139.429740661,57.205,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,26.4,-85.0,163.0
2021-06-17T08:25:12.000Z,35.387699083,139.429740661,57.205,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,26.8,-85.0,163.0
2021-06-17T08:25:16.000Z,35.387699083,139.429740661,57.205,0.0,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,20.6,-92.0,163.0
2021-06-17T08:25:23.000Z,35.387683817,139.42975618,56.136,0.791,-60.0,-60.0,-2.5,-106.0,9.0,-8.0,19.4,-92.0,163.0
2021-06-17T08:25:24.000Z,35.3876403,139.429740661,52.572,0.876,-68.0,-68.0,-2.5,-106.0,9.0,-8.0,14.8,-92.0,163.0
2021-06-17T08:25:28.000Z,35.387677051,139.429741863,53.739,1.237,-56.0,-56.0,-2.5,-106.0,9.0,-8.0,-0.4,-89.0,163.0
2021-06-17T08:25:35.000Z,35.387695723,139.429735907,52.549,0.176,-56.0,-56.0,-2.5,-106.0,9.0,-8.0,-0.2,-89.0,163.0
2021-06-17T08:25:36.000Z,35.387695723,139.429735907,52.549,0.204,-56.0,-56.0,-2.5,-106.0,9.0,-14.0,-3.6,-89.0,163.0
2021-06-17T08:25:40.000Z,35.387713814,139.429744268,53.177,0.177,-56.0,-56.0,-2.5,-106.0,9.0,-14.0,-4.8,-89.0,163.0
2021-06-17T08:25:47.000Z,35.387717779,139.42973711,52.558,0.0,-56.0,-56.0,-2.5,-106.0,9.0,-14.0,-3.6,-89.0,163.0
2021-06-17T08:25:48.000Z,35.387717779,139.42973711,52.558,0.0,-56.0,-56.0,-2.5,-106.0,9.0,-14.0,-2.4,-89.0,163.0
2021-06-17T08:25:52.000Z,35.387728522,139.42974547,52.607,0.0,-56.0,-56.0,-2.5,-106.0,9.0,-14.0,-3.6,-89.0,163.0
2021-06-17T08:25:59.000Z,35.387728522,139.42974547,52.607,0.0,-56.0,-56.0,-2.5,-106.0,9.0,-14.0,-3.8,-89.0,163.0
