time,lat,lon,alt,MCC,MNC,CELL_ID,earfcn_dl,earfcn_ul,RSRP,RSRQ,SINR,LTE RRC,csq,cgreg
n/a,n/a,n/a,0,440,20,26935816,475,-1,-101,-13,5.0,idle,101,"[0, 1]"
2022-03-09T05:58:57.000Z,35.390110927,139.426351173,0,440,20,26935816,475,-1,-101,-13,3.0,idle,101,"[0, 1]"
2022-03-09T05:59:00.000Z,35.390110927,139.426351173,2,440,20,26935816,475,-1,-101,-13,4.0,idle,101,"[0, 1]"
2022-03-09T05:59:01.000Z,35.390107532,139.426342813,5,440,20,26935816,475,-1,-101,-13,4.0,idle,101,"[0, 1]"
2022-03-09T05:59:04.000Z,35.390103567,139.426349972,13,440,20,26935816,475,-1,-93,-13,12.0,idle,93,"[0, 1]"
2022-03-09T05:59:06.000Z,35.39010695,139.426357131,22,440,20,26935816,475,-1,-83,-13,2.0,idle,83,"[0, 1]"
2022-03-09T05:59:07.000Z,35.390103555,139.426348771,28,440,20,26935816,475,-1,-83,-13,2.0,idle,83,"[0, 1]"
2022-03-09T05:59:10.000Z,35.390114831,139.426338008,37,440,20,26935816,475,-1,-78,-13,2.0,idle,78,"[0, 1]"
2022-03-09T05:59:12.000Z,35.390107434,139.426333202,46,440,20,26935816,475,-1,-78,-20,6.0,idle,78,"[0, 1]"
2022-03-09T05:59:13.000Z,35.39010741,139.4263308,52,440,20,26935816,475,-1,-78,-20,6.0,idle,78,"[0, 1]"
2022-03-09T05:59:16.000Z,35.390092579,139.426317585,62,440,20,8737117,3750,-1,-78,-15,2.0,idle,78,"[0, 1]"
2022-03-09T05:59:18.000Z,35.390092494,139.426309176,69,440,20,8737117,3750,-1,-83,-15,6.0,idle,83,"[0, 1]"
2022-03-09T05:59:19.000Z,35.390095852,139.426313932,76,440,20,8737117,3750,-1,-83,-15,6.0,idle,83,"[0, 1]"
2022-03-09T05:59:22.000Z,35.390087825,139.42631864,82,440,20,8737117,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T05:59:24.000Z,35.390080465,139.426317438,82,440,20,9589505,475,-1,-78,-15,3.0,idle,78,"[0, 1]"
2022-03-09T05:59:25.000Z,35.39008386,139.426325799,82,440,20,9589505,475,-1,-78,-15,3.0,idle,78,"[0, 1]"
2022-03-09T05:59:28.000Z,35.390063502,139.426276838,82,440,20,9589505,475,-1,-78,-15,3.0,idle,78,"[0, 1]"
2022-03-09T05:59:30.000Z,35.390066884,139.426283997,83,440,20,9589505,475,-1,-83,-15,5.0,idle,83,"[0, 1]"
2022-03-09T05:59:31.000Z,35.390071989,139.4262458,85,440,20,9589505,475,-1,-83,-15,5.0,idle,83,"[0, 1]"
2022-03-09T05:59:34.000Z,35.390065257,139.42602733,83,440,20,9589505,475,-1,-83,-15,3.0,idle,83,"[0, 1]"
2022-03-09T05:59:36.000Z,35.390056246,139.425870937,85,440,20,9589505,475,-1,-83,-15,4.0,idle,83,"[0, 1]"
2022-03-09T05:59:37.000Z,35.390051734,139.425792139,86,440,20,9589505,475,-1,-83,-15,4.0,idle,83,"[0, 1]"
2022-03-09T05:59:40.000Z,35.390041606,139.425565309,84,440,20,9589505,475,-1,-83,-15,6.0,idle,83,"[0, 1]"
2022-03-09T05:59:42.000Z,35.390035978,139.425416075,83,440,20,9589505,475,-1,-83,-15,7.0,idle,83,"[0, 1]"
2022-03-09T05:59:43.000Z,35.390031478,139.425338479,84,440,20,9589505,475,-1,-83,-15,7.0,idle,83,"[0, 1]"
2022-03-09T05:59:45.000Z,35.390018501,139.425189245,86,440,20,9589505,475,-1,-83,-15,5.0,idle,83,"[0, 1]"
2022-03-09T05:59:46.000Z,35.390014002,139.425111649,80,440,20,9589505,475,-1,-83,-15,5.0,idle,83,"[0, 1]"
2022-03-09T05:59:47.000Z,35.390015141,139.42508061,81,440,20,9589505,475,-1,-83,-15,4.0,idle,83,"[0, 1]"
2022-03-09T05:59:51.000Z,35.390003828,139.425087769,83,440,20,9589505,475,-1,-83,-15,5.0,idle,83,"[0, 1]"
2022-03-09T05:59:52.000Z,35.389973856,139.425102088,81,440,20,9589505,475,-1,-83,-15,5.0,idle,83,"[0, 1]"
2022-03-09T05:59:55.000Z,35.389797391,139.425193955,77,440,20,9589505,475,-1,-83,-15,8.0,idle,83,"[0, 1]"
2022-03-09T05:59:57.000Z,35.389722156,139.425235709,79,440,20,9589505,475,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T05:59:58.000Z,35.389654851,139.425263144,78,440,20,9589505,475,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:00:01.000Z,35.389523624,139.425325173,83,440,20,9589505,475,-1,-83,-20,8.0,idle,83,"[0, 1]"
2022-03-09T06:00:03.000Z,35.389516846,139.425309654,81,440,20,26933772,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:04.000Z,35.389509486,139.425308453,83,440,20,26933772,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:07.000Z,35.389339822,139.425314364,79,440,20,26933772,3750,-1,-83,-20,8.0,idle,83,"[0, 1]"
2022-03-09T06:00:09.000Z,35.389214268,139.425322677,79,440,20,26933772,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:10.000Z,35.389148102,139.425319074,78,440,20,26933772,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:13.000Z,35.388963731,139.425323784,78,440,20,26933772,3750,-1,-83,-20,8.0,idle,83,"[0, 1]"
2022-03-09T06:00:15.000Z,35.388830829,139.425332096,78,440,20,26933772,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:00:16.000Z,35.388768059,139.425336853,77,440,20,26933772,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:00:19.000Z,35.388580292,139.425333203,77,440,20,26933772,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:21.000Z,35.388451355,139.425334357,78,440,20,26933772,3750,-1,-83,-20,5.0,idle,83,"[0, 1]"
2022-03-09T06:00:22.000Z,35.388391967,139.425346273,79,440,20,26933772,3750,-1,-83,-20,5.0,idle,83,"[0, 1]"
2022-03-09T06:00:24.000Z,35.388259647,139.425340268,78,440,20,26933772,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:25.000Z,35.388196877,139.425345025,79,440,20,26933772,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:28.000Z,35.387997809,139.425349734,79,440,20,26933772,3750,-1,-83,-20,9.0,idle,83,"[0, 1]"
2022-03-09T06:00:30.000Z,35.387872256,139.425358047,77,440,20,26933772,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:00:31.000Z,35.387816833,139.425362804,83,440,20,26933772,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:34.000Z,35.387790813,139.425368762,82,440,20,26933772,3750,-1,-81,-20,6.0,idle,81,"[0, 1]"
2022-03-09T06:00:36.000Z,35.38778007,139.425360402,82,440,20,26933772,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:00:37.000Z,35.387747272,139.425350841,78,440,20,26933772,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:00:40.000Z,35.387561226,139.425301836,78,440,20,8659292,3750,-1,-83,-20,8.0,idle,83,"[0, 1]"
2022-03-09T06:00:42.000Z,35.387444159,139.425279111,81,440,20,8659292,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:43.000Z,35.387385911,139.425259989,76,440,20,8659292,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:46.000Z,35.387203248,139.425218143,77,440,20,8659292,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:00:48.000Z,35.387082798,139.42518826,76,440,20,8478301,3750,-1,-83,-20,9.0,idle,83,"[0, 1]"
2022-03-09T06:00:49.000Z,35.387053395,139.425187059,83,440,20,8478301,3750,-1,-83,-20,9.0,idle,83,"[0, 1]"
2022-03-09T06:00:52.000Z,35.387053395,139.425187059,78,440,20,8478301,3750,-1,-83,-20,10.0,idle,83,"[0, 1]"
2022-03-09T06:00:54.000Z,35.387052825,139.425202578,90,440,20,26935819,3750,-1,-80,-20,6.0,idle,80,"[0, 1]"
2022-03-09T06:00:55.000Z,35.387043769,139.425249133,81,440,20,26935819,3750,-1,-80,-20,6.0,idle,80,"[0, 1]"
2022-03-09T06:00:58.000Z,35.387001869,139.425489072,81,440,20,26935819,3750,-1,-83,-20,5.0,idle,83,"[0, 1]"
2022-03-09T06:01:00.000Z,35.386971304,139.425620379,82,440,20,26935819,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:01:01.000Z,35.386962817,139.425651417,82,440,20,26935819,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:01:04.000Z,35.386962817,139.425651417,83,440,20,26935819,3750,-1,-83,-20,9.0,idle,83,"[0, 1]"
2022-03-09T06:01:06.000Z,35.387018251,139.425647861,84,440,20,26935819,3750,-1,-84,-20,9.0,idle,84,"[0, 1]"
2022-03-09T06:01:07.000Z,35.387084417,139.425651464,83,440,20,26935819,3750,-1,-84,-20,9.0,idle,84,"[0, 1]"
2022-03-09T06:01:10.000Z,35.387268208,139.425661073,86,440,20,26935819,3750,-1,-83,-20,6.0,idle,83,"[0, 1]"
2022-03-09T06:01:12.000Z,35.38740054,139.42566828,85,440,20,26935819,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:01:13.000Z,35.387455393,139.425679042,85,440,20,26935819,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:01:16.000Z,35.387643148,139.425681492,85,440,20,26935819,3750,-1,-83,-20,5.0,idle,83,"[0, 1]"
2022-03-09T06:01:18.000Z,35.387768132,139.425688698,84,440,20,26935819,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
2022-03-09T06:01:19.000Z,35.38782695,139.425692301,85,440,20,26935819,3750,-1,-83,-20,7.0,idle,83,"[0, 1]"
