time,lat,lon,alt,MCC,MNC,CELL_ID,earfcn_dl,earfcn_ul,RSRP,RSRQ,SINR,LTE RRC,csq,
n/a,n/a,n/a,0,440,20,26935819,3750,21750,-101,-13,0,connected,101,
2022-03-21T07:26:08.000Z,35.3900985,139.4263918,0,440,20,26935819,3750,21750,-101,-13,1,connected,101,
2022-03-21T07:26:11.000Z,35.3900985,139.4263918,0,440,20,26935819,3750,21750,-101,-13,4,connected,101,
2022-03-21T07:26:13.000Z,35.3900985,139.4263918,0,440,20,26935819,3750,21750,-101,-13,2,connected,101,
2022-03-21T07:26:16.000Z,35.3900985,139.4263918,0,440,20,26935819,3750,21750,-101,-13,1,connected,101,
2022-03-21T07:26:19.000Z,35.3900985,139.4263918,3,440,20,26935818,3750,21750,-101,-13,0,connected,101,
2022-03-21T07:26:22.000Z,35.3900985,139.4263918,11,440,20,26935818,3750,21750,-92,-13,2,connected,92,
2022-03-21T07:26:27.000Z,35.39015052,139.4263775,23,440,20,26935818,3750,21750,-81,-13,2,connected,81,
2022-03-21T07:26:28.000Z,35.39015049,139.4263751,34,440,20,26935818,3750,21750,-81,-13,0,connected,81,
2022-03-21T07:26:33.000Z,35.39013447,139.4263881,47,440,20,26935818,3750,21750,-81,-13,2,connected,81,
2022-03-21T07:26:34.000Z,35.39013444,139.4263845,58,440,20,26935818,3750,21750,-87,-18,4,connected,87,
2022-03-21T07:26:39.000Z,35.39011107,139.4263975,70,440,20,26935818,3750,21750,-87,-18,6,connected,87,
2022-03-21T07:26:40.000Z,35.39011103,139.4263939,83,440,20,26935818,3750,21750,-87,-18,7,connected,87,
2022-03-21T07:26:45.000Z,35.39011428,139.4263878,96,440,20,11467939,,,,,,,65,
2022-03-21T07:26:46.000Z,35.39011029,139.4263926,107,440,20,11467939,,,,,,,66,
2022-03-21T07:26:51.000Z,35.39010618,139.4263853,120,440,20,11467939,,,,,,,66,
2022-03-21T07:26:52.000Z,35.39010616,139.4263829,129,440,20,11467939,,,,,,,66,
2022-03-21T07:26:57.000Z,35.3900868,139.4263936,133,440,20,11467939,,,,,,,66,
2022-03-21T07:26:58.000Z,35.39010549,139.4263888,128,440,20,1,,,,,,,66,
2022-03-21T07:27:03.000Z,35.39002407,139.4262981,132,440,20,1,,,,,,,66,
2022-03-21T07:27:04.000Z,35.39002407,139.4262981,129,440,20,1,,,,,,,66,
2022-03-21T07:27:09.000Z,35.39005919,139.4260426,129,440,20,1,,,,,,,66,
2022-03-21T07:27:10.000Z,35.39006147,139.4259805,129,440,20,1,,,,,,,66,
2022-03-21T07:27:15.000Z,35.39009037,139.4256928,129,440,20,1,,,,,,,66,
2022-03-21T07:27:16.000Z,35.3901,139.4256308,130,440,20,1,,,,,,,66,
2022-03-21T07:27:21.000Z,35.39014078,139.4253204,129,440,20,1,,,,,,,66,
2022-03-21T07:27:22.000Z,35.39015041,139.4252583,129,440,20,1,,,,,,,66,
2022-03-21T07:27:27.000Z,35.3901827,139.4249789,130,440,20,1,,,,,,,66,
2022-03-21T07:27:28.000Z,35.39018327,139.4249634,130,440,20,1,,,,,,,66,
2022-03-21T07:27:33.000Z,35.39041402,139.4248978,131,440,20,1,,,,,,,66,
