No,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,Time
1,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.2,-88.0,2021-05-28T22:40:48
2,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:40:50
3,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.0,-88.0,2021-05-28T22:40:51
4,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:40:52
5,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.4,-88.0,2021-05-28T22:40:53
6,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.4,-88.0,2021-05-28T22:40:54
7,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.4,-88.0,2021-05-28T22:40:56
8,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.4,-88.0,2021-05-28T22:40:57
9,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,9.2,-88.0,2021-05-28T22:40:58
10,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,7.0,-88.0,2021-05-28T22:40:59
11,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,7.0,-88.0,2021-05-28T22:41:00
12,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,7.0,-88.0,2021-05-28T22:41:02
13,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.2,-88.0,2021-05-28T22:41:03
14,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.2,-88.0,2021-05-28T22:41:04
15,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,13.2,-88.0,2021-05-28T22:41:05
16,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,8.2,-88.0,2021-05-28T22:41:07
17,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,8.2,-88.0,2021-05-28T22:41:08
18,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.0,-88.0,2021-05-28T22:41:09
19,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.0,-88.0,2021-05-28T22:41:10
20,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.8,-88.0,2021-05-28T22:41:11
21,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.8,-88.0,2021-05-28T22:41:13
22,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.8,-88.0,2021-05-28T22:41:14
23,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.8,-88.0,2021-05-28T22:41:15
24,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.8,-88.0,2021-05-28T22:41:16
25,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.8,-88.0,2021-05-28T22:41:17
26,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.8,-88.0,2021-05-28T22:41:19
27,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.2,-88.0,2021-05-28T22:41:20
28,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.2,-88.0,2021-05-28T22:41:21
29,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.2,-88.0,2021-05-28T22:41:22
30,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.2,-88.0,2021-05-28T22:41:24
31,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:41:25
32,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.0,-88.0,2021-05-28T22:41:26
33,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.8,-88.0,2021-05-28T22:41:27
34,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,14.8,-88.0,2021-05-28T22:41:28
35,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:41:30
36,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:41:31
37,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:41:32
38,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.6,-88.0,2021-05-28T22:41:33
39,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.8,-88.0,2021-05-28T22:41:35
40,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.6,-88.0,2021-05-28T22:41:36
41,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.6,-88.0,2021-05-28T22:41:37
42,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.6,-88.0,2021-05-28T22:41:38
43,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.6,-88.0,2021-05-28T22:41:39
44,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.6,-88.0,2021-05-28T22:41:41
45,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.6,-88.0,2021-05-28T22:41:42
46,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.4,-88.0,2021-05-28T22:41:43
47,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.4,-88.0,2021-05-28T22:41:44
48,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.2,-88.0,2021-05-28T22:41:45
49,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.2,-88.0,2021-05-28T22:41:47
50,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,9.6,-88.0,2021-05-28T22:41:48
51,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,9.6,-88.0,2021-05-28T22:41:49
52,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,9.6,-88.0,2021-05-28T22:41:50
53,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:41:52
54,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,17.8,-88.0,2021-05-28T22:41:53
55,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.0,-88.0,2021-05-28T22:41:54
56,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.0,-88.0,2021-05-28T22:41:55
57,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.0,-88.0,2021-05-28T22:41:56
58,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,15.0,-88.0,2021-05-28T22:41:58
59,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,11.4,-88.0,2021-05-28T22:41:59
60,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,11.4,-88.0,2021-05-28T22:42:00
61,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,18.2,-88.0,2021-05-28T22:42:01
62,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:42:02
63,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:42:04
64,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:42:05
65,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,12.8,-88.0,2021-05-28T22:42:06
66,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:42:07
67,-60.0,-60.0,-2.5,-106.0,9.0,-10.0,16.4,-88.0,2021-05-28T22:42:09
