time,lat,lon,alt,speed,Current,RSSI,ECIO,IO,SINR(8),RSRQ,SNR,RSRP,s_pcid,s_rc,s_db,s_lband,s_State,p_pcid,p_rc,p_db,p_lband
n/a,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,12.4,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:51.410Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.4,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:52.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.4,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:53.410Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.4,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:54.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.4,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:55.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,13.4,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:56.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,11.8,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:57.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,11.8,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:58.410Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,11.8,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:11:59.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,11.8,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:00.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,10.6,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:01.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,10.6,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:02.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,10.6,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:03.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,11.4,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
2021-06-21T06:12:04.420Z,n/a,n/a,n/a,n/a,-70.0,-70.0,-2.5,-106.0,9.0,-8.0,11.4,-95.0,163.0,475.0,15.0,eutran-1,deconfigured,40.0,1675.0,15.0,eutran-3
