time,lat,lon,alt,speed,Current,RSSI,ECIO,IO,SINR,RSRQ,SNR,RSRP,PCID
n/a,n/a,n/a,n/a,n/a,-57.0,-57.0,-2.5,-106.0,9.0,-7.0,26.6,-90.0,163.0
2021-06-17T07:54:15.000Z,35.387616128,139.429714487,32.172,0.306,-57.0,-57.0,-2.5,-106.0,9.0,-7.0,23.4,-90.0,163.0
2021-06-17T07:54:16.000Z,35.387616128,139.429714487,32.172,0.106,-57.0,-57.0,-2.5,-106.0,9.0,-7.0,25.2,-90.0,163.0
2021-06-17T07:54:19.000Z,35.387616128,139.429714487,32.172,0.814,-66.0,-66.0,-2.5,-106.0,9.0,-7.0,11.6,-98.0,163.0
2021-06-17T07:54:27.000Z,35.387681131,139.429746727,35.834,0.454,-66.0,-66.0,-2.5,-106.0,9.0,-7.0,6.8,-98.0,163.0
2021-06-17T07:54:28.000Z,35.38768112,139.429745525,37.562,0.347,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-7.2,-87.0,163.0
2021-06-17T07:54:31.000Z,35.387681108,139.429744323,39.291,0.163,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-4.0,-87.0,163.0
2021-06-17T07:55:11.000Z,35.387691793,139.429746672,47.983,0.177,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-3.0,-87.0,163.0
2021-06-17T07:55:12.000Z,35.387687828,139.429753831,48.602,0.268,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-5.2,-87.0,163.0
2021-06-17T07:55:16.000Z,35.387684434,139.42974547,49.132,0.102,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-5.0,-87.0,163.0
2021-06-17T07:55:23.000Z,35.387684434,139.42974547,49.132,0.0,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-4.6,-87.0,163.0
2021-06-17T07:55:24.000Z,35.387684434,139.42974547,49.132,0.0,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-5.4,-87.0,163.0
2021-06-17T07:55:28.000Z,35.387684434,139.42974547,49.132,0.0,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-2.8,-87.0,163.0
2021-06-17T07:55:35.000Z,35.387684422,139.429744268,50.861,0.271,-55.0,-55.0,-2.5,-106.0,9.0,-13.0,-7.2,-87.0,106.0
2021-06-17T07:55:36.000Z,35.387684422,139.429744268,50.861,0.176,-43.0,-43.0,-2.5,-106.0,9.0,-8.0,1.0,-69.0,287.0
2021-06-17T07:55:59.000Z,35.387687805,139.429751426,52.059,0.502,-43.0,-43.0,-2.5,-106.0,9.0,-8.0,2.8,-76.0,287.0
2021-06-17T07:56:00.000Z,35.38768384,139.429758584,52.678,0.339,-43.0,-43.0,-2.5,-106.0,9.0,-13.0,-2.2,-76.0,287.0
2021-06-17T07:56:04.000Z,35.387683829,139.429757382,54.407,0.365,-43.0,-43.0,-2.5,-106.0,9.0,-13.0,0.0,-76.0,287.0
2021-06-17T07:56:11.000Z,35.387687771,139.42974782,57.245,0.204,-43.0,-43.0,-2.5,-106.0,9.0,-13.0,0.6,-76.0,287.0
